applicant_id,name,age,income,credit_score,loan_amount,employment_status,married,gender,approved
APP1058,Aarav Lee,41.0,"$81,500",,54900.0,Unemployed,No,female,Rejected
APP1006,Diya Khan,38.0,"$69,000",1.0,198800.0,Unemployed,no,male,Rejected
APP1153,Nina Chen,58.0,"$28,200",796.0,38600.0,Employed,Y,Female,Approved
APP1145,Omar Brown,200.0,"$60,400",,160500.0,unemployed,yes,M,Rejected
APP1161,Aarav Chen,41.0,"$56,400",684.0,154500.0,Employed,Y,female,Rejected
APP1038,Nina Silva,,"$71,400",725.0,183100.0,self employed,Yes,male,Approved
APP1115,Diya Khan,,"$61,300",745.0,70700.0,Self-Employed,yes,male,Approved
APP1064,Diya Chen,46.0,"$29,900",780.0,126300.0,Self Employed,yes,male,Approved
APP1004,Aarav Garcia,,"$98,800",,255000.0,employed,yes,M,Approved
APP1122,Nina Garcia,24.0,"$32,300",528.0,55300.0,self employed,no,,Rejected
APP1071,Liam Kumar,41.0,44500,694.0,261800.0,Self Employed,No,male,Rejected
APP1194,John Ali,52.0,"$58,400",673.0,111900.0,unemployed,Y,female,Rejected
APP1061,Nina Khan,31.0,"$70,100",675.0,208700.0,employed,yes,Female,Approved
APP1041,Nina Kumar,43.0,"$33,600",555.0,151600.0,Employed,Yes,F,Rejected
APP1121,John Ali,50.0,"$62,800",563.0,188500.0,Self-Employed,No,female,Rejected
APP1163,Omar Lee,43.0,"$83,500",677.0,114300.0,Employed,,M,Approved
APP1015,Sara Smith,37.0,"$44,700",574.0,124800.0,employed,yes,F,Rejected
APP1067,Omar Silva,55.0,"$38,800",650.0,94600.0,employed,Yes,female,Rejected
APP1134,Omar Kumar,61.0,41400,631.0,187700.0,unemployed,yes,Male,Rejected
APP1164,Diya Ali,58.0,"$47,400",789.0,209400.0,Employed,no,M,Approved
APP1188,Nina Brown,,"$55,600",689.0,250400.0,Employed,yes,Female,Approved
APP1023,Raj Brown,50.0,"$23,200",747.0,181800.0,employed,No,F,Rejected
APP1136,Aarav Chen,31.0,"$77,400",744.0,259000.0,employed,yes,male,Approved
APP1031,Mei Patel,46.0,"$45,500",628.0,147200.0,Employed,Y,female,Approved
APP1109,Diya Patel,22.0,N/A,551.0,55000.0,Unemployed,No,F,Rejected
APP1095,Omar Lee,51.0,"$42,800",664.0,307400.0,employed,No,Male,Approved
APP1086,Eva Garcia,49.0,"$76,200",718.0,216900.0,Employed,N,,Approved
APP1072,Raj Garcia,28.0,,680.0,186400.0,employed,Y,Male,Approved
APP1035,Mei Lee,36.0,34100,647.0,277800.0,employed,No,M,Rejected
APP1017,Raj Ali,63.0,"$12,000",761.0,5000.0,Employed,Yes,Female,Approved
APP1030,Omar Silva,52.0,"$28,500",638.0,72100.0,unemployed,Y,female,Rejected
APP1070,Sara Patel,57.0,"$31,000",606.0,145900.0,Self-Employed,Y,male,Approved
APP1115,Diya Khan,,"$61,300",745.0,70700.0,Self-Employed,yes,male,Approved
APP1120,Aarav Garcia,26.0,"$83,000",770.0,146900.0,Unemployed,No,male,Rejected
APP1082,Raj Smith,28.0,"$44,300",584.0,168500.0,employed,no,Male,Approved
APP1077,Liam Garcia,52.0,"$28,500",721.0,225300.0,Self Employed,N,M,Rejected
APP1042,John Garcia,23.0,"$77,400",526.0,99600.0,Employed,Y,male,Approved
APP1054,Sara Khan,50.0,"$26,300",624.0,129000.0,Self Employed,Yes,F,Rejected
APP1133,Omar Kumar,50.0,"$65,800",593.0,82100.0,Employed,N,Male,Rejected
APP1013,John Garcia,59.0,"$92,800",740.0,86300.0,employed,No,F,Approved
APP1137,Aarav Silva,33.0,"$50,200",713.0,272400.0,employed,no,female,Rejected
APP1193,Liam Ali,28.0,"$78,500",,272600.0,Employed,No,Female,Approved
APP1005,Diya Ali,55.0,"$41,700",573.0,178700.0,unemployed,Yes,Male,Rejected
APP1089,Eva Kumar,25.0,"$25,800",,69600.0,employed,Yes,M,Approved
APP1108,Eva Brown,22.0,"$45,900",,131700.0,Employed,,F,Rejected
APP1191,Nina Chen,37.0,"$73,300",747.0,131500.0,Unemployed,Y,M,Rejected
APP1128,Diya Ali,59.0,"$24,100",608.0,187400.0,Unemployed,No,female,Rejected
APP1118,Omar Lee,32.0,"$27,700",749.0,22500.0,Unemployed,Y,male,Rejected
APP1158,Raj Khan,-5.0,"$33,400",487.0,7300.0,employed,Y,Male,Rejected
APP1078,John Silva,55.0,N/A,,193600.0,Employed,Yes,male,Approved
APP1024,Eva Brown,25.0,"$73,400",603.0,106600.0,,No,M,Approved
APP1154,Eva Ali,62.0,"$36,900",598.0,257700.0,self employed,N,female,Rejected
APP1180,Aarav Lee,41.0,"$47,600",548.0,345200.0,employed,Yes,F,Rejected
APP1008,John Silva,48.0,,672.0,119600.0,employed,Yes,Female,Approved
APP1053,Omar Ali,50.0,"$35,600",597.0,148400.0,Self Employed,N,female,Rejected
APP1027,Omar Brown,22.0,"$56,900",730.0,84400.0,self employed,Yes,Male,Rejected
APP1126,Diya Silva,30.0,"$28,600",743.0,198800.0,,yes,female,Approved
APP1151,Omar Silva,61.0,"$57,800",631.0,197000.0,Self-Employed,,Female,Rejected
APP1032,Aarav Khan,,"$46,800",651.0,214400.0,Employed,N,female,Rejected
APP1043,Nina Chen,37.0,"$33,700",575.0,124600.0,self employed,,male,Rejected
APP1057,Diya Patel,63.0,"$87,000",672.0,65400.0,Self-Employed,Yes,Male,Approved
APP1174,Sara Ali,38.0,"$49,500",1.0,209800.0,unemployed,Yes,M,Rejected
APP1092,Eva Chen,,"$12,000",786.0,126300.0,employed,no,Male,Rejected
APP1022,Aarav Ali,35.0,"$47,800",598.0,150700.0,Employed,,Female,Rejected
APP1190,Raj Chen,40.0,"$52,400",628.0,60300.0,Self-Employed,No,M,Rejected
APP1175,Mei Patel,53.0,"$48,300",850.0,17000.0,Employed,Y,Male,Approved
APP1168,Mei Garcia,49.0,"$31,400",594.0,67900.0,Employed,Yes,Male,Approved
APP1087,Liam Lee,31.0,"$48,200",796.0,128900.0,Employed,No,M,Approved
APP1139,Diya Silva,44.0,"$60,400",675.0,349000.0,Employed,yes,M,Rejected
APP1063,Nina Garcia,,"$73,200",,5000.0,,Y,F,Approved
APP1146,Diya Khan,33.0,"$52,600",700.0,190200.0,Self-Employed,yes,F,Approved
APP1155,Raj Lee,64.0,"$53,000",756.0,328900.0,Employed,Yes,Male,Approved
APP1140,Nina Garcia,23.0,65200,575.0,172100.0,unemployed,Yes,female,Rejected
APP1045,Aarav Ali,23.0,53700,675.0,255200.0,Employed,Yes,female,Approved
APP1035,Mei Lee,36.0,34100,647.0,277800.0,employed,No,M,Rejected
APP1065,Sara Khan,63.0,"$30,900",744.0,181700.0,Self-Employed,,Male,Rejected
APP1050,Raj Lee,60.0,"$51,300",513.0,266000.0,Employed,Yes,,Rejected
APP1130,Sara Ali,,40400,439.0,25900.0,Unemployed,no,F,Rejected
APP1098,Omar Patel,37.0,"$21,200",652.0,173700.0,employed,Yes,M,Rejected
APP1016,Aarav Chen,,N/A,583.0,94900.0,Employed,N,male,Approved
APP1019,Nina Lee,30.0,"$55,400",568.0,131800.0,Self-Employed,Yes,,Rejected
APP1114,John Smith,48.0,"$73,000",758.0,181200.0,unemployed,No,M,Rejected
APP1044,Eva Chen,36.0,"$62,200",788.0,157800.0,employed,Yes,female,Approved
APP1068,Aarav Ali,30.0,32300,,79200.0,Employed,No,F,Approved
APP1076,Diya Ali,24.0,95500,691.0,162300.0,employed,Yes,Female,Rejected
APP1196,Raj Silva,62.0,N/A,614.0,203000.0,unemployed,Yes,Male,Rejected
APP1112,Nina Silva,39.0,"$62,500",834.0,159800.0,Employed,Yes,Female,Approved
APP1010,Sara Smith,37.0,"$46,400",760.0,140900.0,employed,N,Male,Approved
APP1084,Omar Patel,32.0,?,710.0,74500.0,employed,No,male,Rejected
APP1011,Liam Ali,61.0,"$90,700",561.0,210000.0,Unemployed,Yes,F,Rejected
APP1055,Liam Lee,41.0,"$12,000",704.0,44300.0,Unemployed,Yes,Male,Rejected
APP1088,Mei Brown,33.0,"$78,300",679.0,203600.0,employed,no,Male,Approved
APP1186,Mei Khan,61.0,"$48,700",1.0,167500.0,Employed,No,F,Rejected
APP1176,John Khan,35.0,15900,484.0,84000.0,employed,yes,male,Rejected
APP1111,Diya Chen,49.0,95000,644.0,115500.0,Employed,yes,Male,Approved
APP1143,John Silva,62.0,43800,578.0,5000.0,,Y,female,Approved
APP1009,Mei Silva,33.0,"$45,300",778.0,130800.0,employed,Yes,,Approved
APP1029,Mei Silva,60.0,"$57,700",806.0,117600.0,self employed,,Male,Approved
APP1039,Liam Patel,36.0,"$85,200",613.0,176200.0,employed,yes,female,Rejected
APP1181,Sara Kumar,50.0,"$41,000",593.0,189200.0,employed,N,female,Rejected
APP1056,Eva Kumar,39.0,"$76,800",634.0,5000.0,employed,Y,Male,Rejected
APP1156,Aarav Ali,,"$12,000",,70800.0,employed,Y,female,Rejected
APP1085,Diya Chen,42.0,"$55,400",582.0,218600.0,,,Male,Rejected
APP1091,John Chen,25.0,"$81,700",785.0,5000.0,Employed,no,M,Rejected
APP1059,Nina Garcia,57.0,"$15,300",496.0,215400.0,employed,No,F,Rejected
APP1183,Eva Silva,41.0,N/A,617.0,193600.0,Self-Employed,Yes,M,Rejected
APP1036,Sara Ali,41.0,"$40,400",835.0,184100.0,employed,Yes,F,Approved
APP1187,Liam Smith,48.0,"$34,700",790.0,227600.0,Self-Employed,No,M,Rejected
APP1052,Raj Garcia,41.0,"$19,700",744.0,5000.0,Self-Employed,N,M,Rejected
APP1178,Eva Brown,33.0,"$50,800",850.0,242100.0,Self-Employed,Y,male,Approved
APP1048,Liam Chen,31.0,"$54,600",701.0,39700.0,Unemployed,Yes,Female,Approved
APP1141,Omar Silva,42.0,"$49,000",719.0,240700.0,employed,Y,male,Approved
APP1096,Diya Chen,22.0,"$39,500",615.0,205200.0,Self-Employed,N,female,Rejected
APP1075,John Lee,60.0,"$65,400",667.0,80500.0,,N,Male,Rejected
APP1159,Nina Ali,59.0,N/A,,5000.0,Unemployed,no,female,Rejected
APP1165,Diya Lee,44.0,49600,684.0,182700.0,employed,Y,Female,Approved
APP1080,John Smith,30.0,25400,720.0,15300.0,employed,No,M,Rejected
APP1144,Aarav Garcia,59.0,"$12,600",849.0,169600.0,self employed,Yes,Male,Approved
APP1099,Liam Ali,46.0,"$73,400",584.0,118100.0,Self Employed,No,M,Rejected
APP1124,Raj Lee,35.0,"$33,800",719.0,131500.0,Unemployed,N,Male,Rejected
APP1162,Eva Lee,50.0,50000,825.0,170400.0,unemployed,N,male,Rejected
APP1117,Diya Kumar,60.0,"$41,700",660.0,191800.0,unemployed,,female,Rejected
APP1085,Diya Chen,42.0,"$55,400",582.0,218600.0,,,Male,Rejected
APP1001,Nina Garcia,62.0,"$45,800",850.0,57400.0,employed,yes,female,Approved
APP1113,Omar Patel,64.0,57500,637.0,189700.0,Employed,N,male,Approved
APP1195,Omar Smith,29.0,"$42,900",645.0,35600.0,unemployed,yes,F,Rejected
APP1116,John Kumar,61.0,"$17,800",517.0,202000.0,Employed,Yes,M,Rejected
APP1018,Liam Garcia,50.0,"$18,200",628.0,29600.0,self employed,No,Female,Rejected
APP1010,Sara Smith,37.0,"$46,400",760.0,140900.0,employed,N,Male,Approved
APP1054,Sara Khan,50.0,"$26,300",624.0,129000.0,Self Employed,Yes,F,Rejected
APP1198,Omar Garcia,29.0,"$71,800",693.0,189800.0,self employed,Y,Male,Approved
APP1028,Omar Smith,54.0,"$95,100",702.0,5000.0,unemployed,yes,female,Approved
APP1127,Nina Smith,26.0,"$24,500",521.0,125500.0,employed,Yes,Female,Rejected
APP1199,Omar Smith,47.0,"$56,600",627.0,249000.0,employed,no,M,Approved
APP1049,Mei Ali,58.0,"$43,600",766.0,125300.0,Self-Employed,Yes,,Rejected
APP1094,Liam Kumar,21.0,"$45,800",727.0,215800.0,Employed,Yes,M,Approved
APP1020,Raj Brown,56.0,"$65,500",755.0,177100.0,Employed,yes,male,Approved
APP1037,Sara Smith,,"$77,700",,244000.0,Employed,No,female,Approved
APP1079,Eva Garcia,38.0,"$47,500",585.0,55400.0,employed,N,M,Rejected
APP1123,John Smith,22.0,"$72,600",621.0,124300.0,,Yes,M,Approved
APP1033,Liam Khan,38.0,"$62,600",0.0,231700.0,Unemployed,yes,F,Approved
APP1171,Raj Chen,47.0,"$56,900",626.0,105100.0,employed,Yes,female,Approved
APP1007,John Lee,,"$42,100",515.0,29900.0,self employed,Yes,F,Approved
APP1062,Omar Lee,58.0,"$42,200",680.0,248400.0,unemployed,Y,Female,Rejected
APP1012,Sara Patel,55.0,"$47,600",632.0,113300.0,employed,Yes,Female,Rejected
APP1092,Eva Chen,,"$12,000",786.0,126300.0,employed,no,Male,Rejected
APP1157,Nina Ali,30.0,"$45,400",502.0,161200.0,Employed,No,M,Approved
APP1097,Eva Smith,28.0,"$83,400",729.0,175000.0,Self Employed,No,Male,Approved
APP1110,Diya Kumar,22.0,"$71,200",557.0,140600.0,,yes,female,Approved
APP1104,Liam Silva,53.0,"$41,800",636.0,200300.0,Employed,no,male,Approved
APP1069,Omar Garcia,37.0,"$76,400",729.0,166200.0,Employed,yes,F,Approved
APP1090,Sara Kumar,42.0,"$38,400",671.0,144400.0,Self Employed,Y,female,Rejected
APP1179,Raj Chen,37.0,"$52,900",633.0,5000.0,employed,N,Male,Approved
APP1129,Liam Kumar,60.0,?,784.0,61800.0,Employed,Yes,,Approved
APP1060,Liam Silva,38.0,"$63,800",850.0,203100.0,employed,N,male,Approved
APP1002,Diya Ali,51.0,"$56,400",512.0,267900.0,Self Employed,No,male,Rejected
APP1066,Nina Kumar,25.0,,567.0,90800.0,employed,No,,Rejected
APP1150,Liam Khan,27.0,"$57,400",587.0,221800.0,Self Employed,Y,male,Rejected
APP1081,Sara Patel,41.0,"$82,200",693.0,214200.0,employed,no,male,Rejected
APP1026,Omar Smith,45.0,29900,550.0,279000.0,Employed,Yes,F,Rejected
APP1142,Mei Lee,43.0,"$79,100",540.0,214100.0,Self-Employed,Yes,Female,Rejected
APP1167,Nina Brown,25.0,"$15,000",726.0,18800.0,Self Employed,yes,M,Rejected
APP1093,Mei Chen,30.0,"$65,500",668.0,373400.0,Employed,Yes,F,Rejected
APP1172,Sara Chen,33.0,"$78,800",684.0,370000.0,employed,N,Female,Rejected
APP1148,Liam Ali,60.0,68100,634.0,87500.0,employed,N,Male,Approved
APP1166,John Garcia,47.0,"$55,600",579.0,324900.0,Employed,N,Female,Approved
APP1119,Diya Patel,27.0,"$70,300",615.0,184200.0,employed,Y,female,Rejected
APP1149,Eva Smith,36.0,"$57,800",714.0,108000.0,employed,yes,male,Approved
APP1138,Eva Smith,60.0,57400,770.0,272000.0,self employed,No,female,Rejected
APP1169,Sara Brown,,"$86,600",534.0,94500.0,Employed,Yes,F,Approved
APP1107,John Kumar,55.0,"$36,400",717.0,194400.0,employed,Y,female,Approved
APP1182,Raj Silva,26.0,"$12,000",574.0,78000.0,Unemployed,Y,Male,Rejected
APP1147,Sara Chen,53.0,"$73,300",,108100.0,Self Employed,no,Male,Approved
APP1021,Sara Garcia,56.0,"$67,600",509.0,5000.0,,no,M,Rejected
APP1000,John Garcia,34.0,"$28,800",,162900.0,employed,no,Male,Rejected
APP1112,Nina Silva,39.0,"$62,500",834.0,159800.0,Employed,Yes,Female,Approved
APP1184,Eva Smith,54.0,"$103,000",818.0,89900.0,employed,No,male,Approved
APP1131,Omar Khan,55.0,"$64,600",688.0,47600.0,,Yes,M,Approved
APP1152,Nina Lee,30.0,"$40,500",669.0,290300.0,Self Employed,No,Female,Rejected
APP1106,Eva Patel,-5.0,"$61,200",505.0,251200.0,employed,Yes,male,Rejected
